Caso,Vertices,Arestas,Threads,Tempo_Medio,Aceleracao,Eficiencia
Grafo pequeno completo,100,10000,1,0.005458,1.00,1.00
Grafo pequeno completo,100,10000,2,0.006995,0.780233,0.390117
Grafo pequeno completo,100,10000,4,0.009708,0.562177,0.140544
Grafo pequeno completo,100,10000,8,0.014991,0.364058,0.045507
Grafo pequeno completo,100,10000,16,0.028084,0.194334,0.012146
Grafo médio completo,500,250000,1,0.807417,1.00,1.00
Grafo médio completo,500,250000,2,0.577190,1.398876,0.699438
Grafo médio completo,500,250000,4,0.371283,2.174670,0.543667
Grafo médio completo,500,250000,8,0.342084,2.360292,0.295037
Grafo médio completo,500,250000,16,0.347479,2.323645,0.145228
Grafo grande completo,1000,1000000,1,6.582811,1.00,1.00
Grafo grande completo,1000,1000000,2,4.291618,1.533876,0.766938
Grafo grande completo,1000,1000000,4,2.627795,2.505071,0.626268
Grafo grande completo,1000,1000000,8,2.035282,3.234348,0.404294
Grafo grande completo,1000,1000000,16,1.805782,3.645408,0.227838
